nets,vals
GND PIN U2.5 ADT6402SRJZ 346.39 604.47 PIN JP1.1 3PIN_SOLDER_JUMPER 317.99 197.90 PIN C14.2 0.1uF 383.99 405.40 PIN FL1.6 915MEGHZ 421.56 264.83 SHAPE END PIN FL1.4 915MEGHZ 516.42 264.83 SHAPE END PIN U4.F4 LTM8045MPY#PBF 879.93 428.92 PIN U4.F5 LTM8045MPY#PBF 929.93 428.92 PIN FL1.1 915MEGHZ 421.56 168.40 SHAPE END PIN FL1.3 915MEGHZ 516.42 150.97 SHAPE END PIN U3.3 74AHCT1G126SE-7 588.40 467.86 PIN C4.2 100pF 563.99 454.30 SHAPE END PIN C3.2 618.99 454.30 SHAPE END PIN U4.H3 LTM8045MPY#PBF 829.93 528.92 PIN U4.C1 LTM8045MPY#PBF 729.93 278.92 PIN U4.D1 LTM8045MPY#PBF 729.93 328.92 PIN U4.H1 LTM8045MPY#PBF 729.93 528.92 PIN U4.A4 LTM8045MPY#PBF 879.93 178.92 PIN U4.B4 LTM8045MPY#PBF 879.93 228.92 PIN U4.C2 LTM8045MPY#PBF 779.93 278.92 PIN U4.C3 LTM8045MPY#PBF 829.93 278.92 PIN U4.C4 LTM8045MPY#PBF 879.93 278.92 PIN U4.D2 LTM8045MPY#PBF 779.93 328.92 PIN U4.D3 LTM8045MPY#PBF 829.93 328.92 PIN U4.D4 LTM8045MPY#PBF 879.93 328.92 PIN U4.E2 LTM8045MPY#PBF 779.93 378.92 PIN U4.E3 LTM8045MPY#PBF 829.93 378.92 PIN U4.E4 LTM8045MPY#PBF 879.93 378.92 PIN U4.F2 LTM8045MPY#PBF 779.93 428.92 PIN U4.F3 LTM8045MPY#PBF 829.93 428.92 PIN U4.G2 LTM8045MPY#PBF 779.93 478.92 PIN U4.H2 LTM8045MPY#PBF 779.93 528.92 PIN U4.A5 LTM8045MPY#PBF 929.93 178.92 PIN U4.B5 LTM8045MPY#PBF 929.93 228.92 PIN U4.C5 LTM8045MPY#PBF 929.93 278.92 PIN U4.D5 LTM8045MPY#PBF 929.93 328.92 PIN U4.E5 LTM8045MPY#PBF 929.93 378.92 PIN C20.2 1UF 638.99 216.40 PIN U1.5 ADL5605ACPZ 583.18 642.37 SHAPE END PIN U1.6 ADL5605ACPZ 583.18 667.96 SHAPE END PIN U1.7 ADL5605ACPZ 583.18 693.56 SHAPE END PIN U1.8 ADL5605ACPZ 583.18 719.15 SHAPE END PIN DS2.C LTST-C191KGKT 1088.99 61.40 SHAPE END PIN C10.2 308.99 897.20 SHAPE END PIN C9.2 100pF 368.99 897.20 SHAPE END PIN C22.2 100uF 538.99 127.90 PIN C12.2 8PF 545.98 1017.05 SHAPE END PIN C5.2 10pF 533.99 610.40 PIN C11.2 10uF 308.99 706.40 SHAPE END PIN C7.2 773.29 547.94 SHAPE END PIN C2.2 10uF 678.99 429.90 SHAPE END PIN C6.2 10uF 790.49 602.90 SHAPE END PIN C23.2 1UF 898.99 84.40 PIN R5.2 115K 599.99 337.90 PIN C8.2 100pF 773.29 492.90 SHAPE END PIN C16.2 0.1UF 1038.99 395.40 SHAPE END PIN C17.2 0.1UF 1138.99 395.40 SHAPE END PIN C16.2 0.1UF 1038.99 395.40 SHAPE END PIN C17.2 0.1UF 1138.99 395.40 SHAPE END PIN L3.3 100MEGHZ 1044.90 624.68 PIN U1.13 ADL5605ACPZ 431.58 719.15 SHAPE END PIN U1.14 ADL5605ACPZ 431.58 693.56 SHAPE END PIN U1.15 ADL5605ACPZ 431.58 667.96 SHAPE END PIN U1.16 ADL5605ACPZ 431.58 642.37 SHAPE END PIN U1.PAD ADL5605ACPZ 507.38 680.76 SHAPE END PIN DS1.C SML-D12U1WT86 1005.99 61.40 SHAPE END PIN J1.2 132365-10 609.78 -64.74 SHAPE END PIN J1.3 132365-10 328.20 -64.74 SHAPE END PIN J1.2 132365-10 609.78 -64.74 SHAPE END PIN J1.3 132365-10 328.20 -64.74 SHAPE END PIN J2.2 CON-SMA-EDGE-S 398.21 1190.19 SHAPE END PIN J2.2 CON-SMA-EDGE-S 398.21 1190.19 SHAPE END PIN J2.4 CON-SMA-EDGE-S 616.33 1190.19 SHAPE END PIN J2.4 CON-SMA-EDGE-S 616.33 1190.19 SHAPE END PIN C21.2 1UF 578.99 216.40 PIN U4.B3 LTM8045MPY#PBF 829.93 228.92 PIN U4.E1 LTM8045MPY#PBF 729.93 378.92 PIN JP2.3 3PIN_SOLDER_JUMPER 317.99 322.90 SHAPE END end,0.086
Source 2 negative 0V rise 35ps fall 35ps 50ohm end,0.086
Source 1 negative 0.5V rise 35ps fall 35ps 50ohm end,0.086
5V_SUPPLY PIN U2.1 ADT6402SRJZ 383.79 501.33 PIN JP1.3 3PIN_SOLDER_JUMPER 383.99 197.90 PIN JP2.1 3PIN_SOLDER_JUMPER 383.99 322.90 PIN C14.1 0.1uF 383.99 430.40 PIN U2.4 ADT6402SRJZ 308.99 604.47 PIN C11.1 10uF 308.99 769.40 SHAPE END PIN C10.1 308.99 858.60 SHAPE END PIN C9.1 100pF 368.99 858.60 SHAPE END PIN L1.2 18nH 474.27 812.90 CLINE 474.27 812.90 448.99 812.90 15.00 SHAPE END PIN R1.1 1K 474.45 594.36 PIN U1.3 ADL5605ACPZ 520.18 604.96 SHAPE END PIN U1.4 ADL5605ACPZ 545.77 604.96 SHAPE END PIN C4.1 100pF 563.99 492.90 SHAPE END PIN R2.1 0 570.31 394.77 PIN C3.1 618.99 492.90 SHAPE END PIN C2.1 10uF 678.99 492.90 SHAPE END PIN C8.1 100pF 734.69 492.90 SHAPE END PIN C7.1 734.69 547.94 SHAPE END PIN C6.1 10uF 727.49 602.90 SHAPE END PIN E1.2 100MEGHZ 754.99 -62.10 PIN U3.5 74AHCT1G126SE-7 639.58 537.94 SHAPE END end,0.085
Source 3 negative 0V rise 35ps fall 35ps 50ohm end,0.085
Source 3 positive 0V rise 35ps fall 35ps 50ohm end,0.085
UNNAMED_4_CNBNC5P_I36_CNTR PIN FL1.2 915MEGHZ 468.99 150.97 SHAPE END PIN J1.1 132365-10 468.99 -64.50 SHAPE END end,0.085
UNNAMED_4_CAP_I106_N1 PIN FL1.5 915MEGHZ 468.99 264.83 SHAPE END PIN C1.1 100pF 468.99 480.40 SHAPE END end,0.085
Source 1 positive 0.5V rise 35ps fall 35ps 50ohm end,0.084
ADL5605_DISABLE PIN U3.4 74AHCT1G126SE-7 588.40 537.94 PIN C5.1 10pF 533.99 585.40 PIN U1.2 ADL5605ACPZ 494.58 604.96 CLINE 528.99 562.90 494.58 604.96 12.00 VIA 528.99 562.90 8.00 PIN R3.1 365 1005.99 229.90 CLINE 883.99 617.90 1005.99 229.90 12.00 VIA 883.99 617.90 10.00 SHAPE END end,0.084
