id,head,relation,tail,relation,tail,relation,tail
1,四层fpc板layout,包含,fpc（柔性电路板）,包含,btb（连接器）,设计长度,<40mm
2,四层fpc板layout,包含,fpc（柔性电路板）,包含,btb（连接器）,放置方向,参考基带转换fpc
3,四层fpc板layout,包含,fpc（柔性电路板）,包含,中间位置,设计宽度,可增宽2-3mm（y轴）
4,四层fpc板layout,包含,btb（连接器）,包含,m-（型号）,位置,btb（连接主板侧）
5,四层fpc板layout,包含,btb（连接器）,包含,f-（型号）,位置,btb（连接相机侧）
6,四层fpc板layout,包含,btb（连接器）,包含,btb（连接主板侧）,外框设计,保持
7,四层fpc板layout,包含,btb（连接器）,包含,btb（连接相机侧）,外框设计,可扩展（根据需求）
8,四层fpc板layout,包含,grounding,包含,器件地pin,接地方式,full contact（非十字交叉）
9,四层fpc板layout,包含,grounding,包含,原理图分地（如agnd）,连接位置,"dgnd
"
10,四层fpc板layout,包含,grounding,包含,地孔,分布,均匀分布
11,四层fpc板layout,包含,grounding,包含,地孔,数目,>100
12,四层fpc板layout,包含,射频耦合线,包含,射频连接器,放置位置,靠近btb（连接主板侧）
13,四层fpc板layout,包含,射频耦合线,包含,末端51ohm电阻,位置,top/bottom层
14,四层fpc板layout,包含,射频耦合线,包含,射频连接器,距过孔走线,<0.3mm
15,四层fpc板layout,包含,射频耦合线,包含,末端51ohm电阻,距过孔走线,<0.3mm
16,四层fpc板layout,包含,射频耦合线,包含,重合位置的mipi走线,参考,网络地
17,四层fpc板layout,包含,射频耦合线,包含,mipi c-phy,邻层耦合位置,a0/b0/c0（即lane0）
18,四层fpc板layout,包含,射频耦合线,包含,mipi c-phy,耦合长度,7.5mm+/-0.1mm
19,四层fpc板layout,包含,射频耦合线,包含,mipi d-phy,邻层耦合位置,clk_p&clk_m（即clock差分线）
20,四层fpc板layout,包含,射频耦合线,包含,mipi d-phy,耦合长度,7.5mm+/-0.1mm
21,四层fpc板layout,包含,射频耦合线,包含,非高速线,耦合位置,指定邻层（用户输入）
22,四层fpc板layout,包含,射频耦合线,包含,非高速线,耦合长度,7.5mm+/-0.1mm
23,四层fpc板layout,包含,射频耦合线,包含,线宽,长度,75um
24,四层fpc板layout,包含,射频耦合线,包含,缺最后一条,,
25,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,要求,三线为一组lane
26,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,命名规则,csix_cx_lnx_p_pxx
27,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层）,地（第1层）挖空（重叠区域）
28,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层）,参考地（第3层）
29,四层fpc板layout,包含,阻抗控制线,包含,三线差分（mipi c-phy）,走线（第2层）,线宽85um
